sub_kp_id,kp_id,title,description,bloom_level,dependency_sub_kp,class_hours,chapter_id,syllabus_mentions
SUB0101,KP0101,Hadoop版本演进路线,分析Hadoop 1.x到3.x的核心架构差异与兼容性,1,,6,CH01,4
SUB0102,KP0101,核心组件交互模型,图解HDFS/MapReduce/YARN的协作流程与通信协议,1,SUB0101,6,CH01,5
SUB0103,KP0101,NameNode元数据管理机制,详解fsimage与edits日志的合并原理与冷启动流程,2,SUB0102,6,CH01,3
SUB0104,KP0101,伪分布式环境搭建实践,在Linux系统上完成Hadoop基础集群配置与基础功能验证,2,SUB0103,6,CH01,4
SUB0105,KP0101,生态工具全景图,整理Hive/HBase/Spark等工具在Hadoop生态中的定位,3,SUB0104,6,CH01,4
SUB0106,KP0102,数据写入流水线机制,分步骤解析客户端写入HDFS时的流水线创建与ACK确认逻辑,2,,6,CH01,2
SUB0107,KP0102,分块与副本放置策略,研究128MB分块原则及机架感知算法的实现细节,3,SUB0106,6,CH01,2
SUB0108,KP0102,短路读取优化技术,通过Short-Circuit Local Reads提升本地数据读取效率,3,SUB0107,6,CH01,4
SUB0109,KP0102,HA架构中ZKFC故障切换,分析ZooKeeper在NameNode高可用方案中的选主与状态同步机制,4,SUB0108,6,CH01,3
SUB0110,KP0102,跨集群数据迁移工具对比,实操DistCp与Hadoop Archive在不同场景下的性能差异,4,SUB0109,6,CH01,3
SUB0111,KP0103,WordCount案例实现,手写Java版MapReduce词频统计程序并解析执行日志,3,,6,CH01,1
SUB0112,KP0103,Combiner优化实战,在Shuffle阶段添加Combiner减少网络传输开销,3,SUB0111,6,CH01,2
SUB0113,KP0103,自定义InputFormat开发,继承FileInputFormat实现多类型文件合并读取,4,SUB0112,6,CH01,1
SUB0114,KP0103,链式作业调度实践,使用JobControl管理多个存在依赖关系的MapReduce作业,4,SUB0113,6,CH01,2
SUB0115,KP0103,YARN资源参数调优,调整memory/vcores参数解决Container分配失败问题,5,SUB0114,6,CH01,2
SUB0116,KP0104,三层调度架构解析,图解ResourceManager/NodeManager/ApplicationMaster的协作流程,4,,6,CH01,3
SUB0117,KP0104,Capacity调度器配置实战,通过capacity-scheduler.xml实现多租户资源隔离,4,SUB0116,6,CH01,3
SUB0118,KP0104,资源抢占策略分析,研究yarn.scheduler.capacity.preemption对集群吞吐量的影响,5,SUB0117,6,CH01,2
SUB0119,KP0104,NodeManager心跳超时诊断,通过RM日志与NM监控数据定位节点失联根本原因,5,SUB0118,6,CH01,1
SUB0120,KP0104,REST API监控开发,调用YARN Web Services接口实时获取集群资源利用率,5,,6,CH01,1
SUB0121,KP0105,Flume多节点日志采集,配置exec/taildir源端实现实时日志抓取,2,,6,CH01,3
SUB0122,KP0105,Hive与HBase场景矩阵,从数据模型/延迟/吞吐量等维度对比工具适用边界,4,,6,CH01,1
SUB0123,KP0105,Spark与MapReduce引擎差异,基于DAG模型对比两种框架在迭代计算中的性能表现,4,SUB0122,6,CH01,1
SUB0124,KP0105,存储格式选型评估,从压缩率/查询性能/模式演化等维度对比ORC与Parquet,5,SUB0123,6,CH01,1
SUB0125,KP0105,YARN与Kubernetes调度器对比,分析两者在混合负载场景下的扩展性与隔离性差异,5,SUB0124,6,CH01,2
SUB0201,KP0201,数据块写入Pipeline机制,图解客户端→DataNode链式写入流程与ACK验证逻辑,3,,5,CH02,4
SUB0202,KP0201,机架感知策略优化实验,修改机架拓扑配置并测试跨机架写入性能差异,3,SUB0201,5,CH02,1
SUB0203,KP0201,数据块读取容错机制,模拟DataNode故障并验证客户端自动重试策略,4,SUB0202,5,CH02,2
SUB0204,KP0201,小文件合并存储方案,设计HAR文件合并策略并分析存储效率提升,4,SUB0203,5,CH02,1
SUB0205,KP0201,异构存储分块策略对比,对比128MB/256MB块大小对MapReduce任务的影响,4,SUB0204,5,CH02,1
SUB0206,KP0202,QJM共享存储配置实践,部署JournalNode集群并验证EditLog同步一致性,4,,5,CH02,1
SUB0207,KP0202,ZKFC故障切换触发条件,测试网络隔离场景下Active→Standby切换阈值,4,SUB0206,5,CH02,3
SUB0208,KP0202,脑裂场景模拟与恢复,通过kill -9强制杀死Active NN并观察元数据一致性,5,SUB0207,5,CH02,3
SUB0209,KP0202,HA监控指标采集方案,集成Prometheus采集NN GC时间与RPC延迟指标,5,SUB0208,5,CH02,3
SUB0210,KP0202,跨机房HA架构设计,设计异地双活NameNode的容灾方案,5,SUB0209,5,CH02,3
SUB0211,KP0203,副本放置策略对比实验,修改默认副本策略（如跨机架优先）并测试读写性能,4,,5,CH02,1
SUB0212,KP0203,数据损坏检测与修复,使用hdfs fsck扫描并触发副本自动重建,4,SUB0211,5,CH02,2
SUB0213,KP0203,纠删码存储开销模型,"计算RS(6,3)编码的存储效率与恢复成本",5,SUB0212,5,CH02,1
SUB0214,KP0203,网络拓扑容错模拟,断开机架交换机链路后验证数据可访问性,5,SUB0213,5,CH02,3
SUB0215,KP0203,多副本一致性验证工具,开发脚本检查所有副本的CRC32校验和一致性,5,SUB0214,5,CH02,1
SUB0216,KP0204,Namespace独立资源池管理,为不同业务线分配独立的BlockPool并限制存储配额,5,,5,CH02,1
SUB0217,KP0204,联邦集群扩容仿真实验,动态添加Namespace并验证集群扩展性,5,SUB0216,5,CH02,1
SUB0218,KP0204,跨Namespace数据迁移工具,基于DistCp开发元数据与块数据同步脚本,5,SUB0217,5,CH02,2
SUB0219,KP0204,联邦架构成本效益分析,对比联邦与单Namespace架构的硬件利用率与运维复杂度,5,SUB0218,5,CH02,1
SUB0220,KP0204,联邦与对象存储集成方案,评估HDFS联邦与S3兼容存储的混合部署可行性,5,SUB0219,5,CH02,1
SUB0221,KP0205,基于S3A的混合存储方案,配置HDFS←→AWS S3透明数据访问层,5,,5,CH02,1
SUB0222,KP0205,冷热数据分层存储策略,设计自动化策略将冷数据迁移至S3 Glacier,5,SUB0221,5,CH02,3
SUB0223,KP0205,云原生访问加速优化,利用CDN缓存热点HDFS数据并测试延迟优化效果,5,SUB0222,5,CH02,3
SUB0224,KP0205,跨云存储数据同步工具,开发多云之间HDFS数据同步框架（AWS S3→阿里云OSS）,5,SUB0223,5,CH02,2
SUB0225,KP0205,存储成本监控看板开发,集成Cost Explorer API实现HDFS与云存储的联合成本分析,5,SUB0224,5,CH02,1
SUB0301,KP0301,核心数据模型定义,解释行键（RowKey）、列族（Column Family）、时间戳的三元组结构,1,,5,CH03,1
SUB0302,KP0301,物理存储格式解析,分析HFile的块索引、布隆过滤器、数据块编码结构,1,SUB0301,5,CH03,4
