kp_id,chapter_id,description,bloom_level,class_hours,syllabus_mentions
KP0101,CH01,Hadoop架构演进与核心组件,1,6,3
KP0102,CH01,HDFS文件系统核心原理,2,6,8
KP0103,CH01,MapReduce编程模型,3,6,2
KP0104,CH01,YARN资源管理机制,4,6,1
KP0105,CH01,Hadoop生态工具链对比,5,6,1
KP0201,CH02,HDFS读写流程与数据分块策略,2,5,6
KP0202,CH02,NameNode高可用实现方案,3,5,3
KP0203,CH02,数据冗余与容错机制,4,5,3
KP0204,CH02,HDFS联邦架构设计,5,5,1
KP0205,CH02,HDFS与云存储集成实践,6,5,2
KP0301,CH03,HBase数据模型与存储结构,1,5,4
KP0302,CH03,Region分裂与负载均衡策略,2,5,7
KP0303,CH03,二级索引实现方案对比,3,5,1
KP0304,CH03,HBase与RDBMS性能对比分析,4,5,2
KP0305,CH03,时序数据场景下的HBase优化,6,5,4
KP0401,CH04,Hive元数据管理机制,1,5,9
KP0402,CH04,HQL与MapReduce任务映射关系,2,5,8
KP0403,CH04,分区表与分桶表设计原则,3,5,4
KP0404,CH04,Hive性能调优参数分析,4,5,3
KP0405,CH04,Hive on Spark执行引擎优化,6,5,3
KP0501,CH05,MapReduce性能调优参数,1,3,4
KP0502,CH05,Shuffle阶段工作机制,2,3,1
KP0503,CH05,多表Join操作实现方案,3,3,7
KP0504,CH05,数据倾斜问题诊断与优化,4,3,6
KP0505,CH05,MapReduce与YARN资源调度集成,6,3,4
KP0601,CH06,Hive执行计划解析方法,1,3,6
KP0602,CH06,谓词下推与列式存储优化,2,3,3
KP0603,CH06,动态分区与压缩技术实践,3,3,6
KP0604,CH06,Tez引擎与MapReduce性能对比,4,3,5
KP0605,CH06,Hive LLAP实时查询优化方案,6,3,2
KP0701,CH07,Spark运行时架构组件,1,6,8
KP0702,CH07,DAG调度与任务划分机制,2,6,1
KP0703,CH07,内存管理模型（Tungsten）,3,6,5
KP0704,CH07,Shuffle对比（Sort vs Hash）,4,6,3
KP0705,CH07,动态资源分配策略实现,6,6,3
KP0801,CH08,Scala类型推断与隐式转换,1,5,8
KP0802,CH08,高阶函数与柯里化特性,2,5,7
KP0803,CH08,集合操作（map/filter/reduce）,3,5,4
KP0804,CH08,模式匹配与样例类设计,4,5,5
KP0805,CH08,并发编程（Actor模型）,6,5,3
KP0901,CH09,Catalyst优化器执行流程,1,5,6
KP0902,CH09,DataFrame与RDD性能差异,2,5,8
KP0903,CH09,UDF/UDAF开发实践,3,5,6
KP0904,CH09,数据源扩展（Parquet/JSON）,4,5,4
KP0905,CH09,跨数据源联合查询优化,6,5,3
KP1001,CH10,微批次处理模型原理,1,5,1
KP1002,CH10,窗口操作与状态管理机制,2,5,2
KP1003,CH10,容错恢复（Checkpoint机制）,3,5,3
KP1004,CH10,背压控制与动态负载均衡,4,5,3
